DATE,CLOUDINESS,HUMIDITY,MAX_TEMP,MIN_TEMP,MEAN_TEMP,PRECIPITATION
1958-12-09,0.75,0.859375,0.39232409381663114,0.5518867924528302,0.4595238095238095,0.23529411764705882
1958-12-10,0.875,0.953125,0.35394456289978676,0.5235849056603774,0.42142857142857143,0.07679738562091504
1958-12-11,1.0,0.890625,0.39232409381663114,0.5636792452830188,0.46190476190476193,0.17483660130718953
1958-12-12,1.0,0.96875,0.3837953091684435,0.5471698113207547,0.4380952380952381,0.08823529411764706
1958-12-13,0.75,0.890625,0.40298507462686567,0.589622641509434,0.4857142857142857,0.06209150326797386
1958-12-14,0.875,0.875,0.3752665245202559,0.5518867924528302,0.4666666666666667,0.06209150326797386
1958-12-15,0.875,0.921875,0.373134328358209,0.5518867924528302,0.4785714285714286,0.06209150326797386
1958-12-16,1.0,0.9375,0.4093816631130064,0.6344339622641509,0.5166666666666667,0.06372549019607843
1958-12-17,1.0,0.921875,0.4115138592750533,0.6462264150943396,0.5190476190476191,0.0
1958-12-18,0.875,0.90625,0.39232409381663114,0.5990566037735849,0.4928571428571429,0.017973856209150325
1958-12-19,0.875,0.84375,0.464818763326226,0.6226415094339622,0.5523809523809524,0.02287581699346405
1958-12-20,0.75,0.859375,0.4989339019189765,0.6438679245283019,0.5785714285714286,0.008169934640522876
1958-12-21,0.875,0.9375,0.4157782515991471,0.6037735849056604,0.5166666666666667,0.05555555555555555
1958-12-22,0.0,0.96875,0.37100213219616207,0.4834905660377358,0.4023809523809524,0.0032679738562091504
1958-12-23,0.75,1.0,0.31556503198294245,0.5047169811320755,0.3952380952380952,0.0032679738562091504
1958-12-24,1.0,0.859375,0.35394456289978676,0.5825471698113207,0.46904761904761905,0.0
1958-12-25,0.875,0.875,0.3624733475479744,0.5330188679245284,0.44047619047619047,0.0
1958-12-26,1.0,0.875,0.3304904051172708,0.5660377358490566,0.4357142857142857,0.0457516339869281
1958-12-27,1.0,0.890625,0.464818763326226,0.6108490566037735,0.5166666666666667,0.10947712418300654
1958-12-28,1.0,0.9375,0.464818763326226,0.6155660377358491,0.5285714285714286,0.024509803921568627
1958-12-29,0.875,0.796875,0.4520255863539446,0.6132075471698113,0.5142857142857142,0.119281045751634
1958-12-30,1.0,0.875,0.40298507462686567,0.5990566037735849,0.5071428571428571,0.0
